id	tweet	subtask_a	subtask_b	subtask_c
0	आजच्या जनता दरबारात जळगाव जिल्ह्यातील चाळीसगावचे रहिवासी माजी सैनिक सोनू महाजन आले होते २०१६ साली भाजपचे तत्कालीन…	NOT		
1	कुणी कविता करत असतं तर कुणी कविता जगत असतं कुणी कविता वाचत असतं तर कुणाला कविताच वाचवत असते © पल्लवी	NOT		
2	आम्हाला इतिहासातील औरंगजेबशी काही घेणे नाही आमच्या कडे आमचा बेकायदेशीर रित्या आलेला हक्काचा औरंगजेब आहे तो एका क…	NOT		
3	गँभीर प्रकरण महाराष्ट्राची अवस्था बिकट आहे भाषणात मोठे शब्द वापरणे ऐकले कृती करावी उद्योग भी…	NOT		
4	कब्झा हा कन्नड चित्रपट लवकरच मराठी मध्ये डब्ब होऊन प्रदर्शित होणार आहे जर ह्या चित्रपटाला चांगला प्रतिसाद मिळाला तर आप…	NOT		
5	जे अनधिकृत असेल तर जरुर पाडाव ‘किंबहुना पाडलच पाहिजे फक्त ते आत्ता अचानक ‘दिसल हे धक्कादायक व लज्जास्पद आहे पण जे शहरा…	NOT		
6	जिथुन आशा वाढायला सुरुवात होत असते संपत्तीची तिथून दुर्दशा सुरू होते जीवनाची	NOT		
7	मुंबई मधून बाहेर गेले तर महाराष्ट्रासाठी मराठीसाठी फायद्याचे ठरेल सर्वात महत्त्वाचे म्हणजे…	NOT		
8	माझ्या माहितीमध्ये आहे एक विद्वान आता म्हणे शिवाजी महाराजांनी शत्रूचा पण आदर करायला शिकवले आहे…	NOT		
9	हो म्हणूनच मुंबई आणि मुंबई पोलिसांचा अपमान झाल्यावरसुद्धा तेच आता भाजप…	NOT		
10	कितीदा नव्याने तुला अठवावे डोळ्यांतले पाणी नव्याने वहावे कितीदा झुरावे तुझ्याच साठी कितीदा म्हणावे तुझे गीत ओठी कितीदा…	NOT		
11	माझ्या भावाचे खाते महापे नवी मुंबई मध्ये गणेश टूर्स अँड ट्रॅव्हल्स या नावाने आहे तरी त्या शाखेची सेवा…	NOT		
12	पवार समजणे सोपे नाहीये आजचा फोटो साहेब दादा ताई भाजप वा…	NOT		
13	यांना फासावर गेलेला शेतकरी दिसत नाही त्याचं उध्वस्त झालेलं घर दिसत नाही हंबरडा फोडणारी लेकरं आणि जनावरं दिसत ना…	NOT		
14	ज्येष्ठ व उच्चविद्याविभूषित अभिनेत्री लीला चिटणीस यांची आज जयंती हिंदी चित्रपटातील वात्सल्यसिंधू आई म्ह…	NOT		
15	जोपर्यंत मराठी माणस सारख्या मराठीत सेवा न देणाऱ्या कंपन्यांच्या वस्तू खरेदी करण बंद करत…	NOT		
16	मुंबई पोलिसांवर अविश्वास दाखवून त्यांची बदनामी करणाऱ्या कंगना रानौतला विमान तळावरून घरी जाताना वाय प्लस दर्जाची सुरक्षा क…	NOT		
17	आंदोलन बाळासाहेब आंबेडकर यांच्या नेतृत्वाखाली सर्व संघटनांना सोबत घेऊन कामगारांचा तीव्र क…	NOT		
